Produto,UF,Ano,area_colhida_ha,area_plantada_ha,producao_t,produtividade_kg_ha,valor_producao_mil_reais
Algodao herbaceo (em caroco),Acre,2000,60,60,33,550,23
Algodao herbaceo (em caroco),Acre,2001,88,88,53,602,34
Algodao herbaceo (em caroco),Acre,2002,40,40,48,1200,48
Algodao herbaceo (em caroco),Acre,2003,,,,,
Algodao herbaceo (em caroco),Acre,2004,48,48,110,2291,198
Algodao herbaceo (em caroco),Acre,2005,105,105,126,1200,126
Algodao herbaceo (em caroco),Acre,2006,22,22,28,1272,17
Algodao herbaceo (em caroco),Acre,2007,,,,,
Algodao herbaceo (em caroco),Acre,2008,,,,,
Algodao herbaceo (em caroco),Acre,2009,,,,,
Algodao herbaceo (em caroco),Acre,2010,,,,,
Algodao herbaceo (em caroco),Acre,2011,,,,,
Algodao herbaceo (em caroco),Acre,2012,,,,,
Algodao herbaceo (em caroco),Acre,2013,,,,,
Algodao herbaceo (em caroco),Acre,2014,,,,,
Algodao herbaceo (em caroco),Acre,2015,,,,,
Algodao herbaceo (em caroco),Acre,2016,,,,,
Algodao herbaceo (em caroco),Acre,2017,,,,,
Algodao herbaceo (em caroco),Acre,2018,,,,,
Algodao herbaceo (em caroco),Acre,2019,,,,,
Algodao herbaceo (em caroco),Acre,2020,,,,,
Algodao herbaceo (em caroco),Acre,2021,,,,,
Algodao herbaceo (em caroco),Acre,2022,,,,,
Algodao herbaceo (em caroco),Acre,2023,,,,,
Algodao herbaceo (em caroco),Acre,2024,,,,,
Algodao herbaceo (em caroco),Alagoas,2000,6157,8400,2023,328,1297
Algodao herbaceo (em caroco),Alagoas,2001,14452,15910,6886,476,4158
Algodao herbaceo (em caroco),Alagoas,2002,14629,14829,9524,651,9847
Algodao herbaceo (em caroco),Alagoas,2003,5175,8965,905,174,1292
Algodao herbaceo (em caroco),Alagoas,2004,7635,9384,2258,295,2446
Algodao herbaceo (em caroco),Alagoas,2005,12590,12946,3959,314,3426
Algodao herbaceo (em caroco),Alagoas,2006,11011,11343,3229,293,2763
Algodao herbaceo (em caroco),Alagoas,2007,8203,8623,2165,263,2116
Algodao herbaceo (em caroco),Alagoas,2008,3400,3500,785,230,716
Algodao herbaceo (em caroco),Alagoas,2009,1377,1618,395,286,278
Algodao herbaceo (em caroco),Alagoas,2010,1146,1171,314,273,302
Algodao herbaceo (em caroco),Alagoas,2011,520,520,155,298,169
Algodao herbaceo (em caroco),Alagoas,2012,54,171,8,148,11
Algodao herbaceo (em caroco),Alagoas,2013,72,72,35,486,42
Algodao herbaceo (em caroco),Alagoas,2014,85,85,39,459,46
Algodao herbaceo (em caroco),Alagoas,2015,80,80,39,488,37
Algodao herbaceo (em caroco),Alagoas,2016,60,60,28,467,38
Algodao herbaceo (em caroco),Alagoas,2017,31,31,15,484,22
Algodao herbaceo (em caroco),Alagoas,2018,111,113,51,459,75
Algodao herbaceo (em caroco),Alagoas,2019,159,164,66,415,126
Algodao herbaceo (em caroco),Alagoas,2020,638,638,1247,1955,3087
Algodao herbaceo (em caroco),Alagoas,2021,955,960,1991,2085,4053
Algodao herbaceo (em caroco),Alagoas,2022,625,630,1837,2939,3418
Algodao herbaceo (em caroco),Alagoas,2023,32,32,20,625,65
Algodao herbaceo (em caroco),Alagoas,2024,33,33,28,848,109
Algodao herbaceo (em caroco),Amapá,2000,,,,,
Algodao herbaceo (em caroco),Amapá,2001,,,,,
Algodao herbaceo (em caroco),Amapá,2002,,,,,
Algodao herbaceo (em caroco),Amapá,2003,,,,,
Algodao herbaceo (em caroco),Amapá,2004,,,,,
Algodao herbaceo (em caroco),Amapá,2005,,,,,
Algodao herbaceo (em caroco),Amapá,2006,,,,,
Algodao herbaceo (em caroco),Amapá,2007,,,,,
Algodao herbaceo (em caroco),Amapá,2008,,,,,
Algodao herbaceo (em caroco),Amapá,2009,,,,,
Algodao herbaceo (em caroco),Amapá,2010,,,,,
Algodao herbaceo (em caroco),Amapá,2011,,,,,
Algodao herbaceo (em caroco),Amapá,2012,,,,,
Algodao herbaceo (em caroco),Amapá,2013,,,,,
Algodao herbaceo (em caroco),Amapá,2014,,,,,
Algodao herbaceo (em caroco),Amapá,2015,,,,,
Algodao herbaceo (em caroco),Amapá,2016,,,,,
Algodao herbaceo (em caroco),Amapá,2017,,,,,
Algodao herbaceo (em caroco),Amapá,2018,,,,,
Algodao herbaceo (em caroco),Amapá,2019,,,,,
Algodao herbaceo (em caroco),Amapá,2020,,,,,
Algodao herbaceo (em caroco),Amapá,2021,,,,,
Algodao herbaceo (em caroco),Amapá,2022,,,,,
Algodao herbaceo (em caroco),Amapá,2023,,,,,
Algodao herbaceo (em caroco),Amapá,2024,,,,,
Algodao herbaceo (em caroco),Amazonas,2000,21,23,23,1095,11
Algodao herbaceo (em caroco),Amazonas,2001,22,23,25,1136,13
Algodao herbaceo (em caroco),Amazonas,2002,22,23,25,1136,13
Algodao herbaceo (em caroco),Amazonas,2003,11,11,13,1181,4
Algodao herbaceo (em caroco),Amazonas,2004,5,5,7,1400,1
Algodao herbaceo (em caroco),Amazonas,2005,1,2,1,1000,
Algodao herbaceo (em caroco),Amazonas,2006,1,2,1,1000,0
Algodao herbaceo (em caroco),Amazonas,2007,,,,,
Algodao herbaceo (em caroco),Amazonas,2008,,,,,
Algodao herbaceo (em caroco),Amazonas,2009,,,,,
Algodao herbaceo (em caroco),Amazonas,2010,,,,,
Algodao herbaceo (em caroco),Amazonas,2011,,,,,
Algodao herbaceo (em caroco),Amazonas,2012,,,,,
Algodao herbaceo (em caroco),Amazonas,2013,,,,,
Algodao herbaceo (em caroco),Amazonas,2014,,,,,
Algodao herbaceo (em caroco),Amazonas,2015,,,,,
Algodao herbaceo (em caroco),Amazonas,2016,,,,,
Algodao herbaceo (em caroco),Amazonas,2017,,,,,
Algodao herbaceo (em caroco),Amazonas,2018,,,,,
Algodao herbaceo (em caroco),Amazonas,2019,,,,,
Algodao herbaceo (em caroco),Amazonas,2020,,,,,
Algodao herbaceo (em caroco),Amazonas,2021,,,,,
Algodao herbaceo (em caroco),Amazonas,2022,,,,,
Algodao herbaceo (em caroco),Amazonas,2023,,,,,
Algodao herbaceo (em caroco),Amazonas,2024,,,,,
Algodao herbaceo (em caroco),Bahia,2000,55952,55952,132675,2371,86110
Algodao herbaceo (em caroco),Bahia,2001,56607,58629,170092,3004,123763
Algodao herbaceo (em caroco),Bahia,2002,75264,75264,179971,2391,157558
Algodao herbaceo (em caroco),Bahia,2003,85794,86353,276360,3221,382803
Algodao herbaceo (em caroco),Bahia,2004,203939,203939,704163,3452,965667
Algodao herbaceo (em caroco),Bahia,2005,257377,257377,822401,3195,848834
Algodao herbaceo (em caroco),Bahia,2006,242066,242066,810253,3347,808198
Algodao herbaceo (em caroco),Bahia,2007,301928,301928,1125240,3726,1091285
Algodao herbaceo (em caroco),Bahia,2008,310032,310081,1167947,3767,1173434
Algodao herbaceo (em caroco),Bahia,2009,289483,289758,916895,3167,889106
Algodao herbaceo (em caroco),Bahia,2010,270173,270895,996220,3687,956536
Algodao herbaceo (em caroco),Bahia,2011,415700,415806,1579841,3800,2108650
Algodao herbaceo (em caroco),Bahia,2012,396146,432562,1256090,3171,2762023
Algodao herbaceo (em caroco),Bahia,2013,294471,295535,924981,3141,2398610
Algodao herbaceo (em caroco),Bahia,2014,341060,341690,1163996,3413,3065487
Algodao herbaceo (em caroco),Bahia,2015,332506,332636,1196663,3599,1776796
Algodao herbaceo (em caroco),Bahia,2016,275240,279870,878645,3192,1747480
Algodao herbaceo (em caroco),Bahia,2017,197676,197676,814640,4121,1938513
Algodao herbaceo (em caroco),Bahia,2018,267107,267107,1247722,4671,3570633
Algodao herbaceo (em caroco),Bahia,2019,330782,330782,1493474,4515,3776061
Algodao herbaceo (em caroco),Bahia,2020,313648,313648,1462803,4664,4391066
Algodao herbaceo (em caroco),Bahia,2021,275517,275517,1190682,4322,4057802
Algodao herbaceo (em caroco),Bahia,2022,303936,303936,1271499,4183,6831634
Algodao herbaceo (em caroco),Bahia,2023,312521,312521,1452841,4649,7312553
Algodao herbaceo (em caroco),Bahia,2024,338737,338737,1485719,4386,6442494
Algodao herbaceo (em caroco),Ceará,2000,95089,95089,65991,693,43519
Algodao herbaceo (em caroco),Ceará,2001,20570,21567,10717,521,7156
Algodao herbaceo (em caroco),Ceará,2002,14977,15297,13185,880,9196
Algodao herbaceo (em caroco),Ceará,2003,13627,13637,14077,1033,17183
Algodao herbaceo (em caroco),Ceará,2004,16300,16487,16077,986,19755
Algodao herbaceo (em caroco),Ceará,2005,10288,10288,8577,833,9519
Algodao herbaceo (em caroco),Ceará,2006,9560,9560,10131,1059,8257
Algodao herbaceo (em caroco),Ceará,2007,5762,6290,4639,805,3999
Algodao herbaceo (em caroco),Ceará,2008,4156,4156,4869,1171,4282
Algodao herbaceo (em caroco),Ceará,2009,3099,3099,3898,1257,3552
Algodao herbaceo (em caroco),Ceará,2010,2176,2176,2196,1009,2108
Algodao herbaceo (em caroco),Ceará,2011,2945,2945,3436,1167,5455
Algodao herbaceo (em caroco),Ceará,2012,1752,1752,375,214,627
Algodao herbaceo (em caroco),Ceará,2013,1342,1342,2176,1621,6562
Algodao herbaceo (em caroco),Ceará,2014,1334,1354,2410,1807,5159
Algodao herbaceo (em caroco),Ceará,2015,362,390,107,296,166
Algodao herbaceo (em caroco),Ceará,2016,396,406,425,1073,953
Algodao herbaceo (em caroco),Ceará,2017,516,516,496,961,973
Algodao herbaceo (em caroco),Ceará,2018,1608,1611,1272,791,2586
Algodao herbaceo (em caroco),Ceará,2019,2928,2928,3423,1169,7136
Algodao herbaceo (em caroco),Ceará,2020,3233,3233,5636,1743,12072
Algodao herbaceo (em caroco),Ceará,2021,2610,2610,5844,2239,16731
Algodao herbaceo (em caroco),Ceará,2022,1773,1775,3386,1910,7647
Algodao herbaceo (em caroco),Ceará,2023,3482,3500,5857,1682,13296
Algodao herbaceo (em caroco),Ceará,2024,2324,2379,4693,2019,19427
Algodao herbaceo (em caroco),Distrito Federal,2000,800,800,2817,3521,5380
Algodao herbaceo (em caroco),Distrito Federal,2001,1397,1397,4117,2947,2347
Algodao herbaceo (em caroco),Distrito Federal,2002,1470,1470,4155,2826,4794
Algodao herbaceo (em caroco),Distrito Federal,2003,3240,3240,10900,3364,17211
Algodao herbaceo (em caroco),Distrito Federal,2004,4015,4015,11242,2800,15137
Algodao herbaceo (em caroco),Distrito Federal,2005,4780,4780,16553,3462,14550
Algodao herbaceo (em caroco),Distrito Federal,2006,2880,2880,9792,3400,8487
Algodao herbaceo (em caroco),Distrito Federal,2007,1545,1545,4195,2715,3251
Algodao herbaceo (em caroco),Distrito Federal,2008,,,,,
Algodao herbaceo (em caroco),Distrito Federal,2009,,,,,
Algodao herbaceo (em caroco),Distrito Federal,2010,,,,,
Algodao herbaceo (em caroco),Distrito Federal,2011,678,678,1763,2600,3173
Algodao herbaceo (em caroco),Distrito Federal,2012,110,110,385,3500,578
Algodao herbaceo (em caroco),Distrito Federal,2013,,,,,
Algodao herbaceo (em caroco),Distrito Federal,2014,,,,,
Algodao herbaceo (em caroco),Distrito Federal,2015,,,,,
Algodao herbaceo (em caroco),Distrito Federal,2016,,,,,
Algodao herbaceo (em caroco),Distrito Federal,2017,25,25,113,4520,242
Algodao herbaceo (em caroco),Distrito Federal,2018,,,,,
Algodao herbaceo (em caroco),Distrito Federal,2019,,,,,
Algodao herbaceo (em caroco),Distrito Federal,2020,,,,,
Algodao herbaceo (em caroco),Distrito Federal,2021,,,,,
Algodao herbaceo (em caroco),Distrito Federal,2022,,,,,
Algodao herbaceo (em caroco),Distrito Federal,2023,,,,,
Algodao herbaceo (em caroco),Distrito Federal,2024,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2000,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2001,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2002,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2003,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2004,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2005,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2006,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2007,71,152,141,1985,0
Algodao herbaceo (em caroco),Espírito Santo,2008,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2009,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2010,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2011,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2012,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2013,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2014,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2015,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2016,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2017,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2018,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2019,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2020,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2021,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2022,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2023,,,,,
Algodao herbaceo (em caroco),Espírito Santo,2024,,,,,
Algodao herbaceo (em caroco),Goiás,2000,96718,96718,254476,2631,175830
Algodao herbaceo (em caroco),Goiás,2001,106539,106539,326150,3061,353677
Algodao herbaceo (em caroco),Goiás,2002,102185,102185,301255,2948,307645
Algodao herbaceo (em caroco),Goiás,2003,99347,99347,305187,3071,373254
Algodao herbaceo (em caroco),Goiás,2004,141555,141555,469794,3318,831537
Algodao herbaceo (em caroco),Goiás,2005,149114,149114,432045,2897,435441
Algodao herbaceo (em caroco),Goiás,2006,66033,66033,202914,3072,249817
Algodao herbaceo (em caroco),Goiás,2007,82807,82807,296553,3581,378081
Algodao herbaceo (em caroco),Goiás,2008,72030,72030,286750,3980,269782
Algodao herbaceo (em caroco),Goiás,2009,54870,54870,227307,4142,457365
Algodao herbaceo (em caroco),Goiás,2010,43909,43909,180404,4108,695481
Algodao herbaceo (em caroco),Goiás,2011,110779,110779,425825,3844,1048279
Algodao herbaceo (em caroco),Goiás,2012,96430,96610,352514,3656,448815
Algodao herbaceo (em caroco),Goiás,2013,53270,53270,205167,3851,436105
Algodao herbaceo (em caroco),Goiás,2014,68129,68129,267179,3922,503769
Algodao herbaceo (em caroco),Goiás,2015,32175,32175,131995,4102,224110
Algodao herbaceo (em caroco),Goiás,2016,29273,29273,86446,2953,158449
Algodao herbaceo (em caroco),Goiás,2017,26606,26606,103871,3904,204998
Algodao herbaceo (em caroco),Goiás,2018,28136,28136,108457,3855,261251
Algodao herbaceo (em caroco),Goiás,2019,44215,44215,182928,4137,409029
Algodao herbaceo (em caroco),Goiás,2020,38522,38522,162377,4215,402602
Algodao herbaceo (em caroco),Goiás,2021,33503,33503,138840,4144,283404
Algodao herbaceo (em caroco),Goiás,2022,31346,31346,129665,4137,257052
Algodao herbaceo (em caroco),Goiás,2023,31746,31746,116410,3667,480879
Algodao herbaceo (em caroco),Goiás,2024,36403,36403,146940,4036,585213
Algodao herbaceo (em caroco),Maranhão,2000,466,466,699,1500,338
Algodao herbaceo (em caroco),Maranhão,2001,2515,2515,8118,3227,3455
Algodao herbaceo (em caroco),Maranhão,2002,3118,3118,9725,3118,2932
Algodao herbaceo (em caroco),Maranhão,2003,3254,3254,10564,3246,32731
Algodao herbaceo (em caroco),Maranhão,2004,6634,6634,22395,3375,34120
Algodao herbaceo (em caroco),Maranhão,2005,8385,8385,29206,3483,44610
Algodao herbaceo (em caroco),Maranhão,2006,7194,7194,18611,2587,11167
Algodao herbaceo (em caroco),Maranhão,2007,7194,7194,18611,2587,6514
Algodao herbaceo (em caroco),Maranhão,2008,16918,16930,46737,2762,70669
Algodao herbaceo (em caroco),Maranhão,2009,12841,12841,42418,3303,71007
Algodao herbaceo (em caroco),Maranhão,2010,13030,13030,42855,3288,71383
Algodao herbaceo (em caroco),Maranhão,2011,16755,16755,61412,3665,107800
Algodao herbaceo (em caroco),Maranhão,2012,18626,18626,75059,4030,133788
Algodao herbaceo (em caroco),Maranhão,2013,18504,18504,75093,4058,138439
Algodao herbaceo (em caroco),Maranhão,2014,18588,18588,76249,4102,185898
Algodao herbaceo (em caroco),Maranhão,2015,21375,21375,89774,4200,174962
Algodao herbaceo (em caroco),Maranhão,2016,20913,20913,66690,3189,153843
Algodao herbaceo (em caroco),Maranhão,2017,22491,22491,85365,3796,202478
Algodao herbaceo (em caroco),Maranhão,2018,22342,22342,91654,4102,226635
Algodao herbaceo (em caroco),Maranhão,2019,27752,27752,103680,3736,261943
Algodao herbaceo (em caroco),Maranhão,2020,26536,26536,107798,4062,297980
Algodao herbaceo (em caroco),Maranhão,2021,25924,25924,108511,4186,307612
Algodao herbaceo (em caroco),Maranhão,2022,27670,27670,142937,5166,300168
Algodao herbaceo (em caroco),Maranhão,2023,27670,27670,113404,4098,243819
Algodao herbaceo (em caroco),Maranhão,2024,32637,32637,133815,4100,291768
Algodao herbaceo (em caroco),Mato Grosso,2000,257762,257762,1002836,3890,606770
Algodao herbaceo (em caroco),Mato Grosso,2001,412315,412627,1525376,3699,998346
Algodao herbaceo (em caroco),Mato Grosso,2002,328046,328050,1141211,3478,753341
Algodao herbaceo (em caroco),Mato Grosso,2003,290531,290531,1065779,3668,1233456
Algodao herbaceo (em caroco),Mato Grosso,2004,469780,470780,1884315,4011,2431407
Algodao herbaceo (em caroco),Mato Grosso,2005,482391,483525,1682839,3488,4119679
Algodao herbaceo (em caroco),Mato Grosso,2006,392408,392408,1437926,3664,1370548
Algodao herbaceo (em caroco),Mato Grosso,2007,560838,560838,2204457,3930,2072305
Algodao herbaceo (em caroco),Mato Grosso,2008,539586,539586,2083398,3861,2023074
Algodao herbaceo (em caroco),Mato Grosso,2009,357543,357543,1415921,3960,1734067
Algodao herbaceo (em caroco),Mato Grosso,2010,420132,420132,1454675,3462,2057753
Algodao herbaceo (em caroco),Mato Grosso,2011,719582,719582,2539617,3529,3266943
Algodao herbaceo (em caroco),Mato Grosso,2012,728645,728645,2804712,3849,4127964
Algodao herbaceo (em caroco),Mato Grosso,2013,486024,486024,1867422,3842,3396360
Algodao herbaceo (em caroco),Mato Grosso,2014,613189,613189,2384448,3889,3840582
Algodao herbaceo (em caroco),Mato Grosso,2015,574145,574145,2303616,4012,4236265
Algodao herbaceo (em caroco),Mato Grosso,2016,606025,606314,2220555,3664,5049353
Algodao herbaceo (em caroco),Mato Grosso,2017,616374,616374,2578596,4183,5533407
Algodao herbaceo (em caroco),Mato Grosso,2018,761864,761864,3211351,4215,8074751
Algodao herbaceo (em caroco),Mato Grosso,2019,1106497,1106497,4652784,4205,10436718
Algodao herbaceo (em caroco),Mato Grosso,2020,1140416,1140416,4895045,4292,12847085
Algodao herbaceo (em caroco),Mato Grosso,2021,963041,963041,3998994,4152,20867705
Algodao herbaceo (em caroco),Mato Grosso,2022,1192260,1192260,4396655,3688,23452526
Algodao herbaceo (em caroco),Mato Grosso,2023,1229957,1229982,5360416,4358,20332341
Algodao herbaceo (em caroco),Mato Grosso,2024,1464481,1464481,6265771,4278,22468996
Algodao herbaceo (em caroco),Mato Grosso do Sul,2000,48450,49075,127839,2638,85888
Algodao herbaceo (em caroco),Mato Grosso do Sul,2001,50058,50143,169425,3384,110029
Algodao herbaceo (em caroco),Mato Grosso do Sul,2002,44675,44767,154105,3449,126006
Algodao herbaceo (em caroco),Mato Grosso do Sul,2003,43635,43725,159060,3645,199596
Algodao herbaceo (em caroco),Mato Grosso do Sul,2004,55975,55975,187296,3346,227336
Algodao herbaceo (em caroco),Mato Grosso do Sul,2005,63718,63882,176131,2764,159254
Algodao herbaceo (em caroco),Mato Grosso do Sul,2006,29499,29499,94116,3190,91818
Algodao herbaceo (em caroco),Mato Grosso do Sul,2007,46249,46249,183216,3961,168387
Algodao herbaceo (em caroco),Mato Grosso do Sul,2008,44224,44224,179155,4051,180690
Algodao herbaceo (em caroco),Mato Grosso do Sul,2009,36716,36716,144231,3928,126524
Algodao herbaceo (em caroco),Mato Grosso do Sul,2010,38740,38740,149369,3855,198539
Algodao herbaceo (em caroco),Mato Grosso do Sul,2011,60918,60958,220318,3617,340772
Algodao herbaceo (em caroco),Mato Grosso do Sul,2012,61915,61919,221224,3573,302200
Algodao herbaceo (em caroco),Mato Grosso do Sul,2013,38964,38971,174009,4466,288922
Algodao herbaceo (em caroco),Mato Grosso do Sul,2014,37707,37707,165061,4377,264540
Algodao herbaceo (em caroco),Mato Grosso do Sul,2015,30724,30724,137724,4483,241843
Algodao herbaceo (em caroco),Mato Grosso do Sul,2016,29610,29650,111410,3763,201236
Algodao herbaceo (em caroco),Mato Grosso do Sul,2017,28841,28841,131210,4549,222343
Algodao herbaceo (em caroco),Mato Grosso do Sul,2018,30450,30450,146690,4817,328371
Algodao herbaceo (em caroco),Mato Grosso do Sul,2019,37895,37895,166854,4403,360168
Algodao herbaceo (em caroco),Mato Grosso do Sul,2020,31655,31655,140745,4446,357464
Algodao herbaceo (em caroco),Mato Grosso do Sul,2021,23005,23005,99903,4343,345174
Algodao herbaceo (em caroco),Mato Grosso do Sul,2022,25499,25499,122990,4823,568495
Algodao herbaceo (em caroco),Mato Grosso do Sul,2023,29639,29639,140819,4751,635938
Algodao herbaceo (em caroco),Mato Grosso do Sul,2024,32284,32284,150491,4661,620455
Algodao herbaceo (em caroco),Minas Gerais,2000,49306,49306,99743,2022,65515
Algodao herbaceo (em caroco),Minas Gerais,2001,41215,41215,69760,1692,46183
Algodao herbaceo (em caroco),Minas Gerais,2002,39091,39091,90588,2317,61316
Algodao herbaceo (em caroco),Minas Gerais,2003,34168,34238,85914,2514,113477
Algodao herbaceo (em caroco),Minas Gerais,2004,50999,53064,134966,2646,193754
Algodao herbaceo (em caroco),Minas Gerais,2005,57227,57257,153147,2676,142488
Algodao herbaceo (em caroco),Minas Gerais,2006,34807,40752,100049,2874,91262
Algodao herbaceo (em caroco),Minas Gerais,2007,30310,30340,89649,2957,74295
Algodao herbaceo (em caroco),Minas Gerais,2008,20524,20524,75241,3666,77876
Algodao herbaceo (em caroco),Minas Gerais,2009,15123,15309,55767,3687,53828
Algodao herbaceo (em caroco),Minas Gerais,2010,15056,15306,55810,3706,75172
Algodao herbaceo (em caroco),Minas Gerais,2011,32306,32547,114315,3539,228760
Algodao herbaceo (em caroco),Minas Gerais,2012,30233,30499,103011,3407,155329
Algodao herbaceo (em caroco),Minas Gerais,2013,20231,20495,66673,3296,132483
Algodao herbaceo (em caroco),Minas Gerais,2014,20864,20927,72473,3474,107065
Algodao herbaceo (em caroco),Minas Gerais,2015,18231,18690,67588,3707,80575
Algodao herbaceo (em caroco),Minas Gerais,2016,19264,19669,66401,3447,103217
Algodao herbaceo (em caroco),Minas Gerais,2017,18741,18854,69985,3734,149229
Algodao herbaceo (em caroco),Minas Gerais,2018,22286,22286,92615,4156,228264
Algodao herbaceo (em caroco),Minas Gerais,2019,42224,42224,168976,4002,390367
Algodao herbaceo (em caroco),Minas Gerais,2020,39114,39135,166681,4261,400200
Algodao herbaceo (em caroco),Minas Gerais,2021,26173,26173,98275,3755,412898
Algodao herbaceo (em caroco),Minas Gerais,2022,25397,25397,105418,4151,588736
Algodao herbaceo (em caroco),Minas Gerais,2023,27341,27341,118604,4338,407238
Algodao herbaceo (em caroco),Minas Gerais,2024,29863,29863,126181,4225,420092
Algodao herbaceo (em caroco),Pará,2000,15,15,12,800,8
Algodao herbaceo (em caroco),Pará,2001,,,,,
Algodao herbaceo (em caroco),Pará,2002,,,,,
Algodao herbaceo (em caroco),Pará,2003,,,,,
Algodao herbaceo (em caroco),Pará,2004,,,,,
Algodao herbaceo (em caroco),Pará,2005,,,,,
Algodao herbaceo (em caroco),Pará,2006,,,,,
Algodao herbaceo (em caroco),Pará,2007,,,,,
Algodao herbaceo (em caroco),Pará,2008,,,,,
Algodao herbaceo (em caroco),Pará,2009,,,,,
Algodao herbaceo (em caroco),Pará,2010,,,,,
Algodao herbaceo (em caroco),Pará,2011,,,,,
Algodao herbaceo (em caroco),Pará,2012,,,,,
Algodao herbaceo (em caroco),Pará,2013,,,,,
Algodao herbaceo (em caroco),Pará,2014,,,,,
Algodao herbaceo (em caroco),Pará,2015,,,,,
Algodao herbaceo (em caroco),Pará,2016,,,,,
Algodao herbaceo (em caroco),Pará,2017,,,,,
Algodao herbaceo (em caroco),Pará,2018,,,,,
Algodao herbaceo (em caroco),Pará,2019,,,,,
Algodao herbaceo (em caroco),Pará,2020,,,,,
Algodao herbaceo (em caroco),Pará,2021,,,,,
Algodao herbaceo (em caroco),Pará,2022,,,,,
Algodao herbaceo (em caroco),Pará,2023,,,,,
Algodao herbaceo (em caroco),Pará,2024,250,250,1125,4500,10500
Algodao herbaceo (em caroco),Paraíba,2000,23530,23834,17073,725,11765
Algodao herbaceo (em caroco),Paraíba,2001,6258,8020,2535,405,1709
Algodao herbaceo (em caroco),Paraíba,2002,6478,6525,7071,1091,5079
Algodao herbaceo (em caroco),Paraíba,2003,8177,8263,8633,1055,8573
Algodao herbaceo (em caroco),Paraíba,2004,21566,21711,19015,881,22309
Algodao herbaceo (em caroco),Paraíba,2005,13593,16319,7087,521,7163
Algodao herbaceo (em caroco),Paraíba,2006,7460,7469,7755,1039,7046
Algodao herbaceo (em caroco),Paraíba,2007,5145,5169,2884,560,2700
Algodao herbaceo (em caroco),Paraíba,2008,2747,3605,2550,928,2799
Algodao herbaceo (em caroco),Paraíba,2009,1955,2197,1546,790,1650
Algodao herbaceo (em caroco),Paraíba,2010,1211,1777,430,355,468
Algodao herbaceo (em caroco),Paraíba,2011,1413,1419,2367,1675,3419
Algodao herbaceo (em caroco),Paraíba,2012,120,358,91,758,153
Algodao herbaceo (em caroco),Paraíba,2013,93,98,127,1366,228
Algodao herbaceo (em caroco),Paraíba,2014,32,47,23,719,46
Algodao herbaceo (em caroco),Paraíba,2015,235,243,228,970,400
Algodao herbaceo (em caroco),Paraíba,2016,179,179,146,816,354
Algodao herbaceo (em caroco),Paraíba,2017,403,417,347,861,695
Algodao herbaceo (em caroco),Paraíba,2018,477,479,581,1218,1131
Algodao herbaceo (em caroco),Paraíba,2019,911,914,1168,1282,2443
Algodao herbaceo (em caroco),Paraíba,2020,2197,2197,3611,1644,8593
Algodao herbaceo (em caroco),Paraíba,2021,1450,1539,2014,1389,5475
Algodao herbaceo (em caroco),Paraíba,2022,916,956,1190,1299,3654
Algodao herbaceo (em caroco),Paraíba,2023,895,900,1118,1249,3351
Algodao herbaceo (em caroco),Paraíba,2024,722,726,527,730,2486
Algodao herbaceo (em caroco),Paraná,2000,54109,54109,125444,2318,78904
Algodao herbaceo (em caroco),Paraná,2001,71211,71211,174771,2454,97222
Algodao herbaceo (em caroco),Paraná,2002,36181,36181,84432,2333,59260
Algodao herbaceo (em caroco),Paraná,2003,30049,30049,71720,2386,88029
Algodao herbaceo (em caroco),Paraná,2004,47315,47315,90171,1905,113638
Algodao herbaceo (em caroco),Paraná,2005,57187,57187,78722,1376,65372
Algodao herbaceo (em caroco),Paraná,2006,13890,13890,22609,1627,20328
Algodao herbaceo (em caroco),Paraná,2007,12253,12253,25903,2114,23427
Algodao herbaceo (em caroco),Paraná,2008,6528,6528,16760,2567,16561
Algodao herbaceo (em caroco),Paraná,2009,3251,3251,7746,2382,8319
Algodao herbaceo (em caroco),Paraná,2010,99,99,203,2050,201
Algodao herbaceo (em caroco),Paraná,2011,1132,1132,3193,2821,5896
Algodao herbaceo (em caroco),Paraná,2012,1233,1233,1906,1546,3133
Algodao herbaceo (em caroco),Paraná,2013,94,94,223,2372,110
